geneName	expPai2
ACSM2B	2.1419670955673763E-6
ACSM3	1.1869117276924945E-4
ACSM4	0.0022394616389360064
ACSM5	2.3866157062545505E-6
ACSS1	1.8128389259824223E-8
ACSS2	5.366964378377516E-8
ACSS3	5.8497916914527496E-8
ACTA1	1.582575508385494E-8
ACTA2	1.0881812209622752E-9
ACTB	0.0
ACTBL2	4.138768244052683E-7
ACTC1	7.114922500048647E-11
ACTG1	5.636134733822706E-9
ACTG2	2.6503933506444434E-9
ACTL10	2.990540214954853E-8
ACTL6A	0.0
ACTL6B	9.63407612829278E-8
ACTL7A	7.885492657757957E-8
ACTL7B	8.12791962091296E-8
ACTL8	5.6014013656858124E-9
ACTL9	1.0828834665921945E-8
ACTN1	1.2825366312664647E-9
ACTN2	2.4574215435531483E-9
ACTN4	2.739995412672937E-10
ACTR10	4.420681176470235E-9
ACTR1A	1.1146638587936476E-9
ACTR1B	3.2912442187705716E-8
ACTR2	6.855839999953042E-11
ACTR3	6.875726399942498E-11
ACTR3B	9.040206399983669E-11
ACTR3C	0.0031224068915720687
ACTR5	5.2023620515916665E-8
ACTR6	4.406274708142867E-8
ACTR8	1.4530975173244698E-7
ACTRT1	4.2421612979129265E-6
ACTRT2	1.797321093724224E-8
ACTRT3	5.133430701985047E-9
ACVR1	2.4481761706183967E-9
ACVR1B	6.798002499937849E-11
ACVR1C	5.35997717903307E-8
ACVR2A	1.0923024999986072E-9
ACVR2B	0.0
ACVRL1	7.2464257931745995E-9
ACY1	1.6287190591671007E-7
ACY3	6.491105477756604E-8
ACYP1	8.477250956665948E-10
ACYP2	1.2629919294102218E-9
ADA	1.7055477260480466E-7
ADAD1	1.0122045283766733E-7
ADAD2	3.439992416039945E-7
ADAL	8.056689496929097E-8
ADAM10	6.844252899913254E-11
ADAM11	1.842781401230222E-8
ADAM12	4.860938701964133E-8
ADAM15	5.780883122066673E-7
ADAM17	1.9163271028043307E-8
ADAM18	8.327560743753761E-6
ADAM19	6.140763429335504E-8
ADAM2	6.204315855355738E-6
ADAM20	2.2547930010649796E-6
ADAM21	7.099933856632313E-6
ADAM22	8.389899465257169E-9
ADAM23	4.4000650004724024E-7
ADAM28	1.4531715544008836E-6
ADAM29	5.234636947574573E-7
ADAM30	1.8452440711794784E-7
ADAM32	1.5539543701674581E-6
ADAM33	9.936645720945288E-6
ADAM7	1.922854853033787E-6
ADAM8	3.516265999651273E-5
ADAM9	1.7041472425980478E-9
ADAMDEC1	3.077960811344967E-7
ADAMTS1	2.249810817659721E-8
ADAMTS10	1.5925581934589552E-7
ADAMTS12	6.486852344357442E-7
ADAMTS13	2.7319127530484175E-7
ADAMTS14	1.6635691469099997E-7
ADAMTS15	1.5040010892871284E-8
ADAMTS16	4.004661250495411E-8
ADAMTS17	1.4026994775865498E-7
ADAMTS18	4.0766926097689873E-7
ADAMTS19	2.6959327452986485E-8
ADAMTS2	7.99569482072356E-8
ADAMTS20	3.407093116410725E-6
ADAMTS3	8.892765313624178E-8
ADAMTS4	8.699510083965702E-8
ADAMTS5	1.279639961928639E-8
ADAMTS6	1.0982323039061387E-9
ADAMTS7	3.679037109307917E-7
ADAMTS8	2.3441074037214846E-7
ADAMTS9	7.83365957664445E-8
ADAMTSL1	2.4853437146934743E-4
ADAMTSL2	6.38865412951438E-10
ADAMTSL3	7.053537365118767E-8
ADAMTSL4	6.992143180405097E-6
ADAMTSL5	3.731454900346411E-7
ADAP1	2.758768124783858E-6
ADAP2	5.764612530124467E-8
ADAR	5.567188846493852E-9
ADARB1	7.126736400089328E-11
ADARB2	3.0831062435346382E-9
ADAT1	1.3160157683336333E-7
ADAT2	4.295403268559834E-8
ADAT3	6.458041003046082E-8
ADC	0.0
ADCK1	1.054285319029157E-7
ADCK2	1.944638739364891E-6
ADCK3	1.9158043522085896E-7
ADCK4	2.2653602556045896E-5
ADCK5	0.23847142432189483
ADCY1	6.80415400134677E-10
ADCY10	1.8515480194751145E-6
ADCY2	2.7221475535495294E-10
ADCY3	4.979205965374239E-8
ADCY4	1.3014923877712541E-5
ADCY5	3.529011992829564E-9
ADCY6	2.3162511194434143E-8
ADCY7	1.2091172475420054E-7
ADCY8	2.7331381485659344E-8
ADCY9	1.3399215904240631E-8
ADCYAP1	1.0705761655445975E-9
ADCYAP1R1	3.4415346360466576E-9
ADD1	6.632294701690654E-7
ADD2	1.8103932515749265E-8
ADD3	1.7952111629787632E-7
ADH1A	4.6754340406793747E-7
ADH1B	1.6970712541328514E-9
ADH4	4.4198567703238667E-7
ADH5	1.4401251113531524E-7
ADH6	1.4530028676361928E-7
ADH7	1.866129493745606E-7
ADHFE1	2.0071624306802505E-5
ADI1	8.332851455416268E-8
ADIG	6.859152400043235E-11
ADIPOQ	1.850445436209887E-8
ADIPOR1	2.7761993119762184E-10
ADIPOR2	2.7928861070641306E-10
ADIRF	7.269403463802694E-10
ADK	4.8826487246046125E-9
ADM	7.150276000001536E-8
ADM2	3.915494702841699E-7
ADM5	2.206565494039182E-8
ADNP	1.7452626839748604E-8
ADNP2	5.413318347968912E-8
ADO	1.5030759999966091E-10
ADORA1	3.5901022150514513E-9
ADORA2A	9.503133248506225E-9
ADORA2B	5.194290657200428E-8
ADORA3	3.451844862984641E-7
ADPGK	5.689636937662739E-9
ADPRH	1.1882423131290857E-5
ADPRHL1	1.5641844751232601E-6
ADPRHL2	4.51409634272813E-9
ADPRM	2.4509102218836528E-8
ADRA1A	2.5919808493183315E-7
ADRA1B	9.42008988431185E-8
ADRA1D	4.315473716440012E-8
ADRA2A	2.639708878686193E-8
ADRA2B	3.1838166527723497E-7
ADRA2C	4.116841000013753E-10
ADRB1	1.4549797613703631E-8
ADRB2	1.0854779862192835E-9
ADRB3	2.4369676732575273E-9
ADRBK1	6.849093008325818E-10
ADRBK2	4.098763516778782E-8
ADRM1	0.0
ADSL	2.898309228485091E-8
ADSS	6.131960458634681E-10
ADSSL1	4.726909826897316E-6
ADTRP	7.650881459737856E-8
AEBP1	4.8079201061739976E-5
AEBP2	8.61409858790952E-10
AEN	1.2360990948027165E-7
AES	4.2043220037744164E-7
AFAP1	8.498849485776473E-9
AFAP1L1	2.2323465700878037E-7
AFAP1L2	5.214219908043041E-8
AFF1	1.8592786275067393E-8
AFF2	5.212029504293844E-10
AFF3	3.7947939197401483E-4
AFF4	1.1478252554412605E-9
AFG3L2	3.609217436759766E-8
AFM	4.152042593369999E-6
AFMID	3.3331978314698055E-8
AFP	6.059601811799342E-8
AFTPH	2.7307336871748007E-10
AGA	3.328301101006141E-8
AGAP1	0.04365660867071162
AGAP2	4.579344105866202E-8
AGAP3	2.1174950859288998E-8
AGAP4	1.5575039999953562E-10
AGAP5	1.3990201241453963E-9
AGAP6	1.743446741982726E-4
AGAP7	0.0
