Chr	allele_count	position	PolyPhen
2	1	179611661	N/A
2	1	179611661	benign
2	1	179611675	N/A
2	1	179611675	probably
2	1	179611678	N/A
2	1	179611678	probably
2	1691	179611680	N/A
2	1691	179611680	N/A
2	1	179611680	N/A
2	1	179611680	N/A
2	1	179611683	N/A
2	1	179611683	N/A
2	1	179611687	N/A
2	1	179611687	benign
2	1	179611689	N/A
2	1	179611689	probably
2	2	179611693	N/A
2	2	179611693	benign
2	1	179611701	N/A
2	1	179611701	N/A
2	8	179611703	N/A
2	8	179611703	benign
2	2	179611704	N/A
2	2	179611704	N/A
2	1	179611706	N/A
2	1	179611706	probably
2	8816	179611711	N/A
2	8816	179611711	probably
2	1	179611718	N/A
2	1	179611718	benign
2	1	179611721	N/A
2	1	179611721	N/A
2	4	179611730	N/A
2	4	179611730	benign
2	2	179611731	N/A
2	2	179611731	N/A
2	2	179611736	N/A
2	2	179611736	benign
2	1	179611739	N/A
2	1	179611739	benign
2	4	179611741	N/A
2	4	179611741	benign
2	1	179611741	N/A
2	1	179611741	benign
2	1	179611744	N/A
2	1	179611744	benign
2	1	179611748	N/A
2	1	179611748	benign
2	3	179611753	N/A
2	3	179611753	benign
2	2	179611770	N/A
2	2	179611770	N/A
2	1	179611772	N/A
2	1	179611772	benign
2	9	179611778	N/A
2	9	179611778	benign
2	1	179611780	N/A
2	1	179611780	benign
2	9	179611789	N/A
2	9	179611789	benign
2	1	179611794	N/A
2	1	179611794	N/A
2	1	179611794	N/A
2	1	179611794	N/A
2	1	179611803	N/A
2	1	179611803	N/A
2	420	179611809	N/A
2	420	179611809	N/A
2	7	179611813	N/A
2	7	179611813	benign
2	9	179611814	N/A
2	9	179611814	N/A
2	4	179611814	N/A
2	4	179611814	N/A
2	3	179611814	N/A
2	3	179611814	N/A
2	1	179611814	N/A
2	1	179611814	N/A
2	1	179611824	N/A
2	1	179611824	N/A
2	24	179611825	N/A
2	24	179611825	benign
2	1	179611829	N/A
2	1	179611829	possibly
2	2	179611835	N/A
2	2	179611835	benign
2	1	179611836	N/A
2	1	179611836	N/A
2	1	179611837	N/A
2	1	179611837	benign
2	308	179611842	N/A
2	308	179611842	N/A
2	2	179611846	N/A
2	2	179611846	benign
2	16	179611847	N/A
2	16	179611847	N/A
2	854	179611851	N/A
2	854	179611851	N/A
2	10	179611851	N/A
2	10	179611851	N/A
2	4	179611855	N/A
2	4	179611855	benign
2	3	179611859	N/A
2	3	179611859	benign
2	1	179611861	N/A
2	1	179611861	benign
2	1	179611862	N/A
2	1	179611862	N/A
2	5	179611863	N/A
2	5	179611863	N/A
2	8	179611866	N/A
2	8	179611866	N/A
2	3	179611866	N/A
2	3	179611866	N/A
2	499	179611875	N/A
2	499	179611875	N/A
2	1	179611875	N/A
2	1	179611875	N/A
2	8	179611884	N/A
2	8	179611884	N/A
2	1	179611885	N/A
2	1	179611885	benign
2	2	179611889	N/A
2	2	179611889	benign
2	1	179611890	N/A
2	1	179611890	benign
2	1	179611896	N/A
2	1	179611896	N/A
2	1	179611896	N/A
2	1	179611896	N/A
2	3	179611897	N/A
2	3	179611897	benign
2	52	179611899	N/A
2	52	179611899	N/A
2	2	179611899	N/A
2	2	179611899	N/A
2	6	179611899	N/A
2	6	179611899	N/A
2	1	179611899	N/A
2	1	179611899	N/A
2	9	179611900	N/A
2	9	179611900	benign
2	8	179611903	N/A
2	8	179611903	benign
2	2	179611904	N/A
2	2	179611904	benign
2	1	179611910	N/A
2	1	179611910	N/A
2	1	179611924	N/A
2	1	179611924	benign
2	2	179611928	N/A
2	2	179611928	benign
2	6	179611932	N/A
2	6	179611932	N/A
2	59	179611934	N/A
2	59	179611934	benign
2	2	179611937	N/A
2	2	179611937	benign
2	1	179611941	N/A
2	1	179611941	N/A
2	3	179611945	N/A
2	3	179611945	benign
2	1	179611946	N/A
2	1	179611946	N/A
2	4	179611955	N/A
2	4	179611955	benign
2	1	179611968	N/A
2	1	179611968	N/A
2	1	179611968	N/A
2	1	179611968	N/A
2	1	179611973	N/A
2	1	179611973	benign
2	1	179611982	N/A
2	1	179611982	benign
2	2	179611984	N/A
2	2	179611984	benign
2	1	179611990	N/A
2	1	179611990	benign
2	2	179611997	N/A
2	2	179611997	benign
2	14	179611998	N/A
2	14	179611998	N/A
2	1	179612001	N/A
2	1	179612001	N/A
2	17	179612005	N/A
2	17	179612005	benign
2	1	179612012	N/A
2	1	179612012	benign
2	1	179612029	N/A
2	1	179612029	benign
2	1	179612030	N/A
2	1	179612030	benign
2	2	179612036	N/A
2	2	179612036	benign
2	1	179612036	N/A
2	1	179612036	benign
2	1	179612055	N/A
2	1	179612055	N/A
2	2	179612057	N/A
2	2	179612057	benign
2	6	179612059	N/A
2	6	179612059	benign
2	2	179612060	N/A
2	2	179612060	N/A
2	1	179612084	N/A
2	1	179612084	N/A
2	2	179612095	N/A
2	2	179612095	benign
2	1	179612098	N/A
2	1	179612098	benign
2	2	179612111	N/A
2	2	179612111	possibly
2	1	179612112	N/A
2	1	179612112	N/A
2	1	179612123	N/A
2	1	179612123	possibly
2	1	179612123	N/A
2	1	179612144	N/A
2	1	179612144	possibly
2	1	179612144	N/A
2	1	179612161	N/A
2	1	179612161	benign
2	1	179612161	N/A
2	1	179612164	N/A
2	1	179612164	benign
2	1	179612164	N/A
2	10	179612182	N/A
2	10	179612182	possibly
2	10	179612182	N/A
2	1	179612182	N/A
2	1	179612182	benign
2	1	179612182	N/A
2	1	179612195	N/A
2	1	179612195	probably
2	1	179612195	N/A
2	1	179612197	N/A
2	1	179612197	benign
2	1	179612197	N/A
2	1	179612203	N/A
2	1	179612203	possibly
2	1	179612203	N/A
2	1	179612205	N/A
2	1	179612205	N/A
2	1	179612205	N/A
2	1	179612208	N/A
2	1	179612208	N/A
2	1	179612208	N/A
2	2	179612212	N/A
2	2	179612212	benign
2	2	179612212	N/A
2	1	179612214	N/A
2	1	179612214	benign
2	1	179612214	N/A
2	3	179612216	N/A
2	3	179612216	benign
2	3	179612216	N/A
2	37	179612225	N/A
2	37	179612225	benign
2	37	179612225	N/A
2	1	179612231	N/A
2	1	179612231	probably
2	1	179612231	N/A
2	8	179612246	N/A
2	8	179612246	probably
2	8	179612246	N/A
2	2	179612249	N/A
2	2	179612249	benign
2	2	179612249	N/A
2	1	179612249	N/A
2	1	179612249	possibly
2	1	179612249	N/A
2	1	179612259	N/A
2	1	179612259	possibly
2	1	179612259	N/A
2	3	179612276	N/A
2	3	179612276	possibly
2	3	179612276	N/A
2	1	179612281	N/A
2	1	179612281	N/A
2	1	179612281	N/A
2	1	179612287	N/A
2	1	179612287	probably
2	1	179612287	N/A
2	73	179612307	N/A
2	73	179612307	N/A
2	73	179612307	N/A
2	1	179612309	N/A
2	1	179612309	possibly
2	1	179612309	N/A
2	3	179612310	N/A
2	3	179612310	N/A
2	3	179612310	N/A
2	3	179612311	N/A
2	3	179612311	N/A
2	3	179612311	N/A
2	3	179612314	N/A
2	3	179612314	possibly
2	3	179612314	N/A
2	74	179612315	N/A
2	74	179612315	benign
2	74	179612315	N/A
2	60	179612321	N/A
2	60	179612321	benign
2	60	179612321	N/A
2	3	179612337	N/A
2	3	179612337	N/A
2	3	179612337	N/A
2	1	179612343	N/A
2	1	179612343	benign
2	1	179612343	N/A
2	2	179612347	N/A
2	2	179612347	benign
2	2	179612347	N/A
2	1	179612351	N/A
2	1	179612351	N/A
2	1	179612351	N/A
2	1	179612353	N/A
2	1	179612353	benign
2	1	179612353	N/A
2	1	179612354	N/A
2	1	179612354	benign
2	1	179612354	N/A
2	1	179612358	N/A
2	1	179612358	N/A
2	1	179612358	N/A
2	4	179612360	N/A
2	4	179612360	benign
2	4	179612360	N/A
2	646	179612373	N/A
2	646	179612373	N/A
2	646	179612373	N/A
2	1	179612378	N/A
2	1	179612378	benign
2	1	179612378	N/A
2	4353	179612383	N/A
2	4353	179612383	benign
2	4353	179612383	N/A
2	1	179612399	N/A
2	1	179612399	N/A
2	1	179612399	N/A
2	1	179612421	N/A
2	1	179612421	benign
2	1	179612421	N/A
2	1	179612445	N/A
2	1	179612445	N/A
2	1	179612445	N/A
2	1	179612450	N/A
2	1	179612450	benign
2	1	179612450	N/A
2	4	179612453	N/A
2	4	179612453	benign
2	4	179612453	N/A
2	8	179612455	N/A
2	8	179612455	benign
2	8	179612455	N/A
2	1	179612471	N/A
2	1	179612471	benign
2	1	179612471	N/A
2	1	179612475	N/A
2	1	179612475	N/A
2	1	179612475	N/A
2	1	179612480	N/A
2	1	179612480	benign
2	1	179612480	N/A
2	1	179612486	N/A
2	1	179612486	benign
2	1	179612486	N/A
2	1	179612501	N/A
2	1	179612501	benign
2	1	179612501	N/A
2	1	179612502	N/A
2	1	179612502	N/A
2	1	179612502	N/A
2	35	179612511	N/A
2	35	179612511	N/A
2	35	179612511	N/A
2	1	179612518	N/A
2	1	179612518	benign
2	1	179612518	N/A
2	3	179612521	N/A
2	3	179612521	benign
2	3	179612521	N/A
2	2	179612531	N/A
2	2	179612531	benign
2	2	179612531	N/A
2	1	179612540	N/A
2	1	179612540	benign
2	1	179612540	N/A
2	1	179612553	N/A
2	1	179612553	benign
2	1	179612553	N/A
2	1	179612568	N/A
2	1	179612568	N/A
2	1	179612568	N/A
2	1	179612572	N/A
2	1	179612572	benign
2	1	179612572	N/A
2	2	179612575	N/A
2	2	179612575	benign
2	2	179612575	N/A
2	7	179612587	N/A
2	7	179612587	N/A
2	7	179612587	N/A
2	1	179612588	N/A
2	1	179612588	benign
2	1	179612588	N/A
2	1	179612599	N/A
2	1	179612599	benign
2	1	179612599	N/A
2	24	179612601	N/A
2	24	179612601	benign
2	24	179612601	N/A
2	1	179612612	N/A
2	1	179612612	benign
2	1	179612612	N/A
2	1	179612615	N/A
2	1	179612615	benign
2	1	179612615	N/A
2	3	179612621	N/A
2	3	179612621	benign
2	3	179612621	N/A
2	1	179612627	N/A
2	1	179612627	benign
2	1	179612627	N/A
2	571	179612635	N/A
2	571	179612635	benign
2	571	179612635	N/A
2	1	179612635	N/A
2	1	179612635	benign
2	1	179612635	N/A
2	1	179612635	N/A
2	1	179612635	benign
2	1	179612635	N/A
2	34	179612638	N/A
2	34	179612638	benign
2	34	179612638	N/A
2	2	179612638	N/A
2	2	179612638	benign
2	2	179612638	N/A
2	1	179612641	N/A
2	1	179612641	benign
2	1	179612641	N/A
2	1	179612645	N/A
2	1	179612645	benign
2	1	179612645	N/A
2	2	179612649	N/A
2	2	179612649	N/A
2	2	179612649	N/A
2	1	179612650	N/A
2	1	179612650	benign
2	1	179612650	N/A
2	2	179612658	N/A
2	2	179612658	benign
2	2	179612658	N/A
2	1	179612659	N/A
2	1	179612659	benign
2	1	179612659	N/A
2	3	179612661	N/A
2	3	179612661	N/A
2	3	179612661	N/A
2	1	179612661	N/A
2	1	179612661	N/A
2	1	179612661	N/A
2	3	179612662	N/A
2	3	179612662	benign
2	3	179612662	N/A
2	12	179612677	N/A
2	12	179612677	benign
2	12	179612677	N/A
2	1	179612682	N/A
2	1	179612682	benign
2	1	179612682	N/A
2	1	179612682	N/A
2	1	179612682	N/A
2	1	179612682	N/A
2	1	179612699	N/A
2	1	179612699	benign
2	1	179612699	N/A
2	1	179612711	N/A
2	1	179612711	N/A
2	1	179612711	N/A
2	3	179612712	N/A
2	3	179612712	N/A
2	3	179612712	N/A
2	12	179612728	N/A
2	12	179612728	benign
2	12	179612728	N/A
2	1	179612738	N/A
2	1	179612738	benign
2	1	179612738	N/A
2	1	179612752	N/A
2	1	179612752	benign
2	1	179612752	N/A
2	1	179612753	N/A
2	1	179612753	benign
2	1	179612753	N/A
2	1	179612761	N/A
2	1	179612761	benign
2	1	179612761	N/A
2	4	179612771	N/A
2	4	179612771	benign
2	4	179612771	N/A
2	1	179612782	N/A
2	1	179612782	benign
2	1	179612782	N/A
2	2	179612794	N/A
2	2	179612794	N/A
2	2	179612794	N/A
2	2	179612796	N/A
2	2	179612796	N/A
2	2	179612796	N/A
2	194	179612800	N/A
2	194	179612800	benign
2	194	179612800	N/A
2	8	179612803	N/A
2	8	179612803	benign
2	8	179612803	N/A
2	8	179612806	N/A
2	8	179612806	benign
2	8	179612806	N/A
2	6	179612811	N/A
2	6	179612811	N/A
2	6	179612811	N/A
2	3	179612813	N/A
2	3	179612813	benign
2	3	179612813	N/A
2	1	179612814	N/A
2	1	179612814	N/A
2	1	179612814	N/A
2	2	179612815	N/A
2	2	179612815	benign
2	2	179612815	N/A
2	1	179612821	N/A
2	1	179612821	benign
2	1	179612821	N/A
2	7	179612832	N/A
2	7	179612832	benign
2	7	179612832	N/A
2	2	179612839	N/A
2	2	179612839	benign
2	2	179612839	N/A
2	1	179612840	N/A
2	1	179612840	benign
2	1	179612840	N/A
2	1	179612845	N/A
2	1	179612845	benign
2	1	179612845	N/A
2	1	179612845	N/A
2	1	179612845	benign
2	1	179612845	N/A
2	2	179612851	N/A
2	2	179612851	benign
2	2	179612851	N/A
2	1	179612854	N/A
2	1	179612854	benign
2	1	179612854	N/A
2	1	179612869	N/A
2	1	179612869	benign
2	1	179612869	N/A
2	1	179612871	N/A
2	1	179612871	N/A
2	1	179612871	N/A
2	1	179612873	N/A
2	1	179612873	benign
2	1	179612873	N/A
2	1	179612882	N/A
2	1	179612882	benign
2	1	179612882	N/A
2	857	179612883	N/A
2	857	179612883	N/A
2	857	179612883	N/A
2	9	179612887	N/A
2	9	179612887	benign
2	9	179612887	N/A
2	1	179612900	N/A
2	1	179612900	benign
2	1	179612900	N/A
2	2	179612906	N/A
2	2	179612906	benign
2	2	179612906	N/A
2	149	179612913	N/A
2	149	179612913	N/A
2	149	179612913	N/A
2	4	179612917	N/A
2	4	179612917	benign
2	4	179612917	N/A
2	1	179612921	N/A
2	1	179612921	benign
2	1	179612921	N/A
2	1	179612931	N/A
2	1	179612931	N/A
2	1	179612931	N/A
2	1	179612932	N/A
2	1	179612932	N/A
2	1	179612932	N/A
2	63	179612933	N/A
2	63	179612933	benign
2	63	179612933	N/A
2	1	179612935	N/A
2	1	179612935	benign
2	1	179612935	N/A
2	1	179612936	N/A
2	1	179612936	benign
2	1	179612936	N/A
2	26	179612960	N/A
2	26	179612960	benign
2	26	179612960	N/A
2	2	179612966	N/A
2	2	179612966	benign
2	2	179612966	N/A
2	1	179612977	N/A
2	1	179612977	benign
2	1	179612977	N/A
2	2	179612988	N/A
2	2	179612988	N/A
2	2	179612988	N/A
2	1	179612997	N/A
2	1	179612997	N/A
2	1	179612997	N/A
2	9	179613005	N/A
2	9	179613005	benign
2	9	179613005	N/A
2	1	179613008	N/A
2	1	179613008	benign
2	1	179613008	N/A
2	1	179613012	N/A
2	1	179613012	N/A
2	1	179613012	N/A
2	4	179613013	N/A
2	4	179613013	benign
2	4	179613013	N/A
2	8	179613014	N/A
2	8	179613014	N/A
2	8	179613014	N/A
2	1	179613016	N/A
2	1	179613016	benign
2	1	179613016	N/A
2	1	179613017	N/A
2	1	179613017	benign
2	1	179613017	N/A
2	1	179613025	N/A
2	1	179613025	N/A
2	1	179613025	N/A
2	1	179613039	N/A
2	1	179613039	N/A
2	1	179613039	N/A
2	58	179613049	N/A
2	58	179613049	benign
2	58	179613049	N/A
2	1	179613050	N/A
2	1	179613050	benign
2	1	179613050	N/A
2	1	179613052	N/A
2	1	179613052	benign
2	1	179613052	N/A
2	3	179613053	N/A
2	3	179613053	benign
2	3	179613053	N/A
2	3	179613054	N/A
2	3	179613054	N/A
2	3	179613054	N/A
2	1	179613056	N/A
2	1	179613056	benign
2	1	179613056	N/A
2	1	179613058	N/A
2	1	179613058	benign
2	1	179613058	N/A
2	2	179613060	N/A
2	2	179613060	benign
2	2	179613060	N/A
2	1	179613066	N/A
2	1	179613066	benign
2	1	179613066	N/A
2	2	179613068	N/A
2	2	179613068	benign
2	2	179613068	N/A
2	1	179613075	N/A
2	1	179613075	N/A
2	1	179613075	N/A
2	2	179613082	N/A
2	2	179613082	benign
2	2	179613082	N/A
2	1	179613083	N/A
2	1	179613083	benign
2	1	179613083	N/A
2	13	179613084	N/A
2	13	179613084	N/A
2	13	179613084	N/A
2	3	179613093	N/A
2	3	179613093	N/A
2	3	179613093	N/A
2	33	179613112	N/A
2	33	179613112	benign
2	33	179613112	N/A
2	1	179613121	N/A
2	1	179613121	benign
2	1	179613124	N/A
2	1	179613124	benign
2	1	179613127	N/A
2	1	179613127	benign
2	3	179613143	N/A
2	3	179613143	benign
2	2	179613145	N/A
